Common Name,Species Code
Ring-necked Francolin,rinfra2
Finsch's Francolin,finfra2
Orange River Francolin,orrfra2
Orange River Francolin (Archer's),orrfra1
Orange River Francolin (Kalahari),orrfra3
Orange River Francolin (Orange River),orrfra4
Gray-winged Francolin,gywfra1
Moorland Francolin,moofra2
Moorland Francolin (Moorland),moofra1
Moorland Francolin (Elgon),moofra3
Shelley's Francolin,shefra2
Shelley's Francolin (Shelley's),shefra1
Shelley's Francolin (Whyte's),shefra3
francolin sp.,franco1
Blood Pheasant,blophe1
Himalayan Monal,himmon1
Sclater's Monal,sclmon1
Chinese Monal,chimon1
Snow Partridge,snopar1
Verreaux's Partridge,verpar1
Szechenyi's Partridge,szepar1
Western Tragopan,westra1
Satyr Tragopan,sattra1
Blyth's Tragopan,blytra1
Temminck's Tragopan,temtra1
Cabot's Tragopan,cabtra1
Reeves's Pheasant,reephe1
Copper Pheasant,copphe1
Mikado Pheasant,mikphe1
Elliot's Pheasant,ellphe1
Hume's Pheasant,humphe1
